State,Year,Population
United States,2000,282162411
Alabama,2000,4452173
Alaska,2000,627963
Arizona,2000,5160586
Arkansas,2000,2678588
California,2000,33987977
Colorado,2000,4326921
Connecticut,2000,3411777
Delaware,2000,786373
District of Columbia,2000,572046
Florida,2000,16047515
Georgia,2000,8227303
Hawaii,2000,1213519
Idaho,2000,1299430
Illinois,2000,12434161
Indiana,2000,6091866
Iowa,2000,2929067
Kansas,2000,2693681
Kentucky,2000,4049021
Louisiana,2000,4471885
Maine,2000,1277072
Maryland,2000,5311034
Massachusetts,2000,6361104
Michigan,2000,9952450
Minnesota,2000,4933692
Mississippi,2000,2848353
Missouri,2000,5607285
Montana,2000,903773
Nebraska,2000,1713820
Nevada,2000,2018741
New Hampshire,2000,1239882
New Jersey,2000,8430621
New Mexico,2000,1821204
New York,2000,19001780
North Carolina,2000,8081614
North Dakota,2000,642023
Ohio,2000,11363543
Oklahoma,2000,3454365
Oregon,2000,3429708
Pennsylvania,2000,12284173
Rhode Island,2000,1050268
South Carolina,2000,4024223
South Dakota,2000,755844
Tennessee,2000,5703719
Texas,2000,20944499
Utah,2000,2244502
Vermont,2000,609618
Virginia,2000,7105817
Washington,2000,5910512
West Virginia,2000,1807021
Wisconsin,2000,5373999
Wyoming,2000,494300
United States,2001,284968955
Alabama,2001,4467634
Alaska,2001,633714
Arizona,2001,5273477
Arkansas,2001,2691571
California,2001,34479458
Colorado,2001,4425687
Connecticut,2001,3432835
Delaware,2001,795699
District of Columbia,2001,574504
Florida,2001,16356966
Georgia,2001,8377038
Hawaii,2001,1225948
Idaho,2001,1319962
Illinois,2001,12488445
Indiana,2001,6127760
Iowa,2001,2931997
Kansas,2001,2702162
Kentucky,2001,4068132
Louisiana,2001,4477875
Maine,2001,1285692
Maryland,2001,5374691
Massachusetts,2001,6397634
Michigan,2001,9991120
Minnesota,2001,4982796
Mississippi,2001,2852994
Missouri,2001,5641142
Montana,2001,906961
Nebraska,2001,1719836
Nevada,2001,2098399
New Hampshire,2001,1255517
New Jersey,2001,8492671
New Mexico,2001,1831690
New York,2001,19082838
North Carolina,2001,8210122
North Dakota,2001,639062
Ohio,2001,11387404
Oklahoma,2001,3467100
Oregon,2001,3467937
Pennsylvania,2001,12298970
Rhode Island,2001,1057142
South Carolina,2001,4064995
South Dakota,2001,757972
Tennessee,2001,5750789
Texas,2001,21319622
Utah,2001,2283715
Vermont,2001,612223
Virginia,2001,7198362
Washington,2001,5985722
West Virginia,2001,1801481
Wisconsin,2001,5406835
Wyoming,2001,494657
United States,2002,287625193
Alabama,2002,4480089
Alaska,2002,642337
Arizona,2002,5396255
Arkansas,2002,2705927
California,2002,34871843
Colorado,2002,4490406
Connecticut,2002,3458749
Delaware,2002,806169
District of Columbia,2002,573158
Florida,2002,16689370
Georgia,2002,8508256
Hawaii,2002,1239613
Idaho,2002,1340372
Illinois,2002,12525556
Indiana,2002,6155967
Iowa,2002,2934234
Kansas,2002,2713535
Kentucky,2002,4089875
Louisiana,2002,4497267
Maine,2002,1295960
Maryland,2002,5440389
Massachusetts,2002,6417206
Michigan,2002,10015710
Minnesota,2002,5018935
Mississippi,2002,2858681
Missouri,2002,5674825
Montana,2002,911667
Nebraska,2002,1728292
Nevada,2002,2173791
New Hampshire,2002,1269089
New Jersey,2002,8552643
New Mexico,2002,1855309
New York,2002,19137800
North Carolina,2002,8326201
North Dakota,2002,638168
Ohio,2002,11407889
Oklahoma,2002,3489080
Oregon,2002,3513424
Pennsylvania,2002,12331031
Rhode Island,2002,1065995
South Carolina,2002,4107795
South Dakota,2002,760020
Tennessee,2002,5795918
Texas,2002,21690325
Utah,2002,2324815
Vermont,2002,615442
Virginia,2002,7286873
Washington,2002,6052349
West Virginia,2002,1805414
Wisconsin,2002,5445162
Wyoming,2002,500017
United States,2003,290107933
Alabama,2003,4503491
Alaska,2003,648414
Arizona,2003,5510364
Arkansas,2003,2724816
California,2003,35253159
Colorado,2003,4528732
Connecticut,2003,3484336
Delaware,2003,818003
District of Columbia,2003,568502
Florida,2003,17004085
Georgia,2003,8622793
Hawaii,2003,1251154
Idaho,2003,1363380
Illinois,2003,12556006
Indiana,2003,6196638
Iowa,2003,2941999
Kansas,2003,2723004
Kentucky,2003,4117170
Louisiana,2003,4521042
Maine,2003,1306513
Maryland,2003,5496269
Massachusetts,2003,6422565
Michigan,2003,10041152
Minnesota,2003,5053572
Mississippi,2003,2868312
Missouri,2003,5709403
Montana,2003,919630
Nebraska,2003,1738643
Nevada,2003,2248850
New Hampshire,2003,1279840
New Jersey,2003,8601402
New Mexico,2003,1877574
New York,2003,19175939
North Carolina,2003,8422501
North Dakota,2003,638817
Ohio,2003,11434788
Oklahoma,2003,3504892
Oregon,2003,3547376
Pennsylvania,2003,12374658
Rhode Island,2003,1071342
South Carolina,2003,4150297
South Dakota,2003,763729
Tennessee,2003,5847812
Texas,2003,22030931
Utah,2003,2360137
Vermont,2003,617858
Virginia,2003,7366977
Washington,2003,6104115
West Virginia,2003,1812295
Wisconsin,2003,5479203
Wyoming,2003,503453
United States,2004,292805298
Alabama,2004,4530729
Alaska,2004,659286
Arizona,2004,5652404
Arkansas,2004,2749686
California,2004,35574576
Colorado,2004,4575013
Connecticut,2004,3496094
Delaware,2004,830803
District of Columbia,2004,567754
Florida,2004,17415318
Georgia,2004,8769252
Hawaii,2004,1273569
Idaho,2004,1391802
Illinois,2004,12589773
Indiana,2004,6233007
Iowa,2004,2953635
Kansas,2004,2734373
Kentucky,2004,4146101
Louisiana,2004,4552238
Maine,2004,1313688
Maryland,2004,5546935
Massachusetts,2004,6412281
Michigan,2004,10055315
Minnesota,2004,5087713
Mississippi,2004,2889010
Missouri,2004,5747741
Montana,2004,930009
Nebraska,2004,1749370
Nevada,2004,2346222
New Hampshire,2004,1290121
New Jersey,2004,8634561
New Mexico,2004,1903808
